kind,k,seed,total_structure_proxy,target_alignment,tre_proxy,transfer_accuracy
random,4,100040,0.4910840334801341,0.20696649595952946,0.10163794163105559,0.51525
irrelevant_high,4,100041,22.032672179652828,6.0091396339049726e-05,0.0013239740363558726,0.5055
relevant_mid,4,100042,7.095102761753338,0.9976295571445679,7.078284226103184,0.668
mixed_budget_limited,4,100043,20.605552788401862,0.0017011298171321872,0.03505272024684169,0.50825
relevant_high,4,100044,24.335965121189908,0.9992767631086394,24.3183644534274,0.67
random,12,100120,0.9096557399746386,0.383219041022078,0.3485974003333097,0.49975
irrelevant_high,12,100121,41.66865280116734,0.23680697143734275,9.867427473718587,0.518
relevant_mid,12,100122,6.931522498784545,0.997486768413847,6.9141019775004695,0.652
mixed_budget_limited,12,100123,40.3188477303387,0.9979503821131248,40.2362094988524,0.62475
relevant_high,12,100124,23.898781463887133,0.9996481310606313,23.89037222500123,0.65025
random,4,100140,0.47344494080469857,0.1138097643694388,0.053882657154885646,0.5365
irrelevant_high,4,100141,22.47481900294265,0.0001705450927663408,0.003832970091763573,0.50275
relevant_mid,4,100142,7.0209390462143215,0.9975209786788508,7.003533988624268,0.762
mixed_budget_limited,4,100143,21.38287490936167,0.0008359901622315152,0.01787587306445346,0.51125
relevant_high,4,100144,24.923492461478595,0.9992265449867347,24.904215261286186,0.76425
random,12,100220,0.9410108581688021,0.3364140915188896,0.31656931296026825,0.531
irrelevant_high,12,100221,41.81513749104089,0.1889257276363059,7.899955276707076,0.46275
relevant_mid,12,100222,6.827933049765084,0.9971149758720894,6.808234298172754,0.60575
mixed_budget_limited,12,100223,39.84712335073538,0.9971400755157264,39.73316358703674,0.6775
relevant_high,12,100224,24.481189186882943,0.9995850899802695,24.471031696194387,0.643
random,4,100240,0.48330602685206814,0.16049418151603007,0.07756780520138712,0.52625
irrelevant_high,4,100241,22.27923205926174,0.000249884477300335,0.005567234257781487,0.499
relevant_mid,4,100242,7.018120742824467,0.9972401671541548,6.998751902682312,0.81775
mixed_budget_limited,4,100243,21.21725603106963,0.00017717886731898885,0.003759249391201902,0.4905
relevant_high,4,100244,24.96386008450746,0.9994301967440156,24.949635595749367,0.82125
random,12,100320,0.9881736715976339,0.3226771930670324,0.318861106613868,0.54175
irrelevant_high,12,100321,42.31587966458601,0.1916442982407928,8.10959706276142,0.568
relevant_mid,12,100322,6.985597537764615,0.9973541830121739,6.967114925129081,0.75125
mixed_budget_limited,12,100323,40.32763749295613,0.9982983954195758,40.25901580028042,0.743
relevant_high,12,100324,24.333384261897468,0.9996196338635387,24.32412866653874,0.74325
random,4,100340,0.49173589125419226,0.07514660624024928,0.03695228339427683,0.47
irrelevant_high,4,100341,22.340066210330683,5.543860910880219e-05,0.0012385021980992825,0.4925
relevant_mid,4,100342,7.069375164633156,0.995580966398202,7.038135358236926,0.79525
mixed_budget_limited,4,100343,21.37123535500757,0.0005354908665563713,0.011444101339633162,0.493
relevant_high,4,100344,24.695593332556115,0.9991023189676306,24.67342456683837,0.795
random,12,100420,0.9815556740226448,0.30605026850717837,0.30040537758937486,0.508
irrelevant_high,12,100421,42.259724316633324,0.2335947854586084,9.871651235283897,0.51875
relevant_mid,12,100422,6.957155271085224,0.9977520510856079,6.9415159414463306,0.6245
mixed_budget_limited,12,100423,40.64735003133384,0.9978949147643688,40.56178389491535,0.693
relevant_high,12,100424,24.465932979765967,0.9996151651644974,24.45651763647228,0.73075
random,4,100440,0.469962892212042,0.23224760234082661,0.1091477549054071,0.6205
irrelevant_high,4,100441,21.634350002064124,0.0001807365261840893,0.003910117265623815,0.4875
relevant_mid,4,100442,6.900982559892391,0.9966974290685502,6.878191575491648,0.82275
mixed_budget_limited,4,100443,21.097479903952873,0.0001839388814292937,0.0038806468545100944,0.49825
relevant_high,4,100444,24.594779207699258,0.9993383344326233,24.57850568916029,0.824
random,12,100520,0.9880697294177974,0.3454923826128343,0.34137056500417334,0.60325
irrelevant_high,12,100521,41.635438027544915,0.09709522220009809,4.042602106682887,0.507
relevant_mid,12,100522,6.927313129418355,0.9989121113521923,6.919776984105051,0.665
mixed_budget_limited,12,100523,39.5563799557253,0.9985844898552803,39.50038749860958,0.74
relevant_high,12,100524,24.121962541666463,0.9990433438368306,24.098886117533237,0.77025
random,4,100540,0.4722220988558379,0.30112790809836143,0.1421992527862761,0.61425
irrelevant_high,4,100541,22.007519660440263,2.143322564817766e-05,0.00047169213483892237,0.49675
relevant_mid,4,100542,7.140463659988842,0.9969938162689975,7.118998114302369,0.8155
mixed_budget_limited,4,100543,20.94309823259682,0.0006031131229807812,0.012631057379954748,0.50375
relevant_high,4,100544,24.535290728275626,0.999390141228682,24.52032766601815,0.82725
random,12,100620,0.9179492059709176,0.20831792739523775,0.19122527604196574,0.57
irrelevant_high,12,100621,41.84396114555811,0.028828058285710778,1.2062801508091663,0.511
relevant_mid,12,100622,6.918451057748328,0.9976775097071365,6.902383022325057,0.6835
mixed_budget_limited,12,100623,39.986963441376275,0.9989606445813511,39.945402774248166,0.761
relevant_high,12,100624,24.192388706153963,0.999620536581599,24.18320857963624,0.73125
